Product Name,Active Ingredient,Application Type,Product Registrant,Date of Approval,Registration No.
"LEUPRORELIN SANDOZ IMPLANT IN SYRINGE 3.6 MG, 5 MG",Leuprorelin acetate eqv leuprorelin,NDA-2: New dosage formNDA-3: New strength,NOVARTIS (SINGAPORE) PTE LTD,21/03/2023,"SIN16740P, SIN16739P"
"WEGOVY 0.25MG, 0.5MG, 1.0MG, 1.7MG and 2.4MG FLEXTOUCH SOLUTION FOR INJECTION in PRE-FILLED PEN",Semaglutide,NDA-2: New product containing registered entityNDA-3: New strength,NOVO NORDISK PHARMA (SINGAPORE) PTE LTD,24/03/2023,"SIN16744P, SIN16745P, SIN16746P, SIN16747P and SIN16748P"
SPINRAZA SOLUTION FOR INJECTION 12MG/5ML,Nusinersen sodium,NDA-1: New chemical entity,ZUELLIG PHARMA PTE. LTD.,31/03/2023,SIN16751P
RINVOQ EXTENDED-RELEASE TABLET 45MG,Upadacitinib Hemihydrate eqv Upadacitinib,NDA-3: New strength,ABBVIE PTE LTD,10 Feb 2023,SIN16687P
"MENOPUR SOLUTION FOR INJECTION IN PRE-FILLED PEN 600 IU, 1200 IU",Menotrophin,"NDA-2/3: New formulation, new strength",Ferring Pharmaceuticals Private Limited,20 Feb 2023,SIN16699PSIN16700P
NURTEC ORALLY DISINTEGRATING TABLET 75MG,Rimegepant sulfate eqv Rimegepant,NDA-1: New chemical entity,PFIZER PRIVATE LIMITED,21 Feb 2023,SIN16702P
MAXIGESIC PE FILM-COATED TABLET,"Paracetamol, phenylephrine hydrochloride, ibuprofen",NDA-2: New combination,APEX PHARMA MARKETING PTE. LTD.,21 Feb 2023,SIN16703P
WEGOVY 1MG SOLUTION FOR INJECTION IN PRE-FILLED PENWEGOVY 0.5MG SOLUTION FOR INJECTION IN PRE-FILLED PENWEGOVY 0.25MG SOLUTION FOR INJECTION IN PRE-FILLED PENWEGOVY 1.7MG SOLUTION FOR INJECTION IN PRE-FILLED PENWEGOVY 2.4MG SOLUTION FOR INJECTION IN PRE-FILLED PEN,Semaglutide,"NDA-2/3: New strength, new indication",NOVO NORDISK PHARMA (SINGAPORE) PTE LTD,22 Feb 2023,SIN16704PSIN16705PSIN16706PSIN16707PSIN16708P
NOVOEIGHT POWDER AND SOLVENT FOR SOLUTIONFOR INJECTION 2000IU/VIAL,Turoctocog Alfa,NDA-3: New strength,NOVO NORDISK PHARMA (SINGAPORE) PTE LTD,24 Feb 2023,SIN16713P
"TROKENDI XR EXTENDED-RELEASE CAPSULE 25MG, 50MG, 100MG, 200MG",Topiramate,NDA-2: New dosage formNDA-3: New strength,ORIENT EUROPHARMA PTE LTD,05/01/2023,"SIN16662P, SIN16663P, SIN16664P, SIN16665P"
SUVEZEN 10 MG/10 MG FILM-COATED TABLETSSUVEZEN 20 MG/10 MG FILM-COATED TABLETS,"Rosuvastatin, Ezetimibe",NDA-2: New dosage formNDA-3: New strength,SANOFI-AVENTIS SINGAPORE PTE. LTD.,05/01/2023,"SIN16660P, SIN16661P"
K-CAB FILM-COATED TABLETS 50MG,Tegoprazan,NDA-1: New chemical entity,UNITED ITALIAN TRADING CORPORATION (PRIVATE) LIMITED,11/01/2023,SIN16672P
ENTYVIO POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 300MG/VIAL,Vedolizumab,NDA-2: New dosage form /dosing regimen,TAKEDA PHARMACEUTICALS (ASIA PACIFIC) PTE. LTD.,11/01/2023,SIN16673P
NABOTA POWDER FOR SOLUTION FOR INJECTION 100 UNITS/VIAL,Clostridium Botulinum Toxin Type A,NDA-2: New biological product,HYPHENS PHARMA PTE. LTD.,20/01/2023,SIN16680P
FESPIXON CREAM,"Centella asiatica extract, Plectranthus amboinicusextract",NDA-1,PHARMENG TECHNOLOGY PTE. LTD.,31/01/2023,SIN16683P
"LYPSTAPLUS FILM-COATED TABLET 20MG/10MG, 10MG/10MG","Rosuvastatin, ezetimibe",NDA-2: New combination,ABBOTT LABORATORIES (SINGAPORE) PRIVATE LIMITED,06/12/2022,"SIN16650P, SIN16651P"
ASADIN INJECTION 1 MG/ML,Arsenic Trioxide,NDA-1: New chemical entity,PHARM-D SINGAPORE PTE LTD,02/11/2022,SIN16634P
HIBRUKA TABLET 50 MG,Orelabrutinib,NDA-1: New chemical entity,LABCORP DEVELOPMENT (ASIA) PTE. LTD.,22/11/2022,SIN16645P
APEXXNAR SUSPENSION FOR INJECTION IN SINGLE-DOSE PRE-FILLED SYRINGE 0.5ML,"Pneumococcal polysaccharide of serotypes 1, 3, 4, 5, 6A, 6B, 7F, 8, 9V, 10A, 11A, 12F, 14, 15B, 18C, 19A, 19F, 22F, 23F, 33F conjugated to CRM197carrier protein, adsorbed on aluminium phosphate.",NDA-1: New biological entity,PFIZER PRIVATE LIMITED,30/11/2022,SIN16648P
JEMPERLI CONCENTRATE FOR SOLUTION FOR INFUSION 500MG/10ML,Dostarlimab,NDA-1: New biological entity,GLAXOSMITHKLINE PTE LTD,06/10/2022,SIN16623P
SARCLISA CONCENTRATE FOR SOLUTION FOR INFUSION20MG/ML,Isatuximab,NDA-1: New biological entity,SANOFI-AVENTIS SINGAPORE PTE. LTD,17 OCT 2022,SIN16630P
Trazher (trastuzumab) Powder for Concentrate for Solution for Infusion 150mg/vial,Trastuzumab,NDA-2,INNOGENE KALBIOTECH PTE. LTD.,09/10/2022,SIN16631P
DUCRESSA EYE DROPS SOLUTION 1MG/ML + 5MG/ML,Dexamethasone sodium phosphate 1.32mg/mL (eqv to Dexamethasone 1.00mg/mL)Levofloxacin hemihydrate 5.12mg/mL (eqv to Levofloxacin 5.00mg/Ml),NDA-2: New combination,SANTEN PHARMACEUTICAL ASIA PTE LTD,07/09/2022,SIN16596P
BLENREP POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 100MG,Belantamab mafodotin,NDA-1,GLAXOSMITHKLINE PTE LTD,21/09/2022,SIN16606P
"JINARC TABLET 15MG, 30MG, 45MG/15MG, 60MG/30MG, 90MG/30MG",Tolvaptan,NDA-2/3: New indication/strength/dosing regimen,Otsuka Pharmaceuticals (Singapore) Pte. Ltd.,23 Sep 22,"SIN16607P, SIN16608P, SIN16609P, SIN16610P, SIN16611P"
STAQUIS OINTMENT 2% W/W,Crisaborole,NDA-1: New chemical entity,PFIZER PRIVATE LIMITED,27/09/2022,SIN16613P
EQUFINA FILM-COATED TABLETS 50MG,Safinamide,NDA-1: New chemical entity,EISAI (SINGAPORE) PTE. LTD.,28/09/2022,SIN16615P
INREBIC CAPSULES 100MG,Fedratinib,NDA-1: New chemical entity,Bristol-Myers Squibb (Singapore) Pte Ltd,29 Sep 2022,SIN16617P
"COMIRNATY, CONCENTRATE FOR DISPERSION FOR INJECTION, 3 MCG/DOSE",Tozinameran,NDA-2: New formulation and patient population,BIONTECH PHARMACEUTICALS ASIA PACIFIC PTE.LTD.,28 Sep 2022,SIN16616P
ABRILADA SOLUTION FOR INJECTION IN SINGLE-DOSE PREFILLED SYRINGE 20MG/0.4 MLABRILADA SOLUTION FOR INJECTION IN SINGLE-DOSE PREFILLED PEN 40 MG/0.8 MLABRILADA SOLUTION FOR INJECTION IN SINGLE-DOSE PREFILLED SYRINGE 40MG/0.8 ML,Adalimumab,NDA-2/3,PFIZER PRIVATE LIMITED,02/08/2022,"SIN16561P, SIN16562P, SIN16563P"
NICORETTE QUICKMIST MOUTHSPRAY 1MG/SPRAY,Nicotine,NDA-2*: New dosage form,JOHNSON & JOHNSON PTE LTD,06/08/2022,SIN16567P
REKAMBYS PROLONGED-RELEASE SUSPENSION FOR INJECTION 300MG/ML,Rilpivirine,NDA-2*: New dosage form,JOHNSON & JOHNSON PTE LTD,11/08/2022,SIN16568P
AKLIEF CREAM 50 MCG/G,Trifarotene,NDA-1,GALDERMA SINGAPORE PRIVATE LIMITED,17/08/2022,SIN16571P
ONUREG FILM-COATED TABLETS 200MGONUREG FILM-COATED TABLETS 300MG,Azacitidine,NDA-2/3,BRISTOL-MYERS SQUIBB (SINGAPORE) PTE. LTD.,19/08/2022,SIN16572PSIN16573P
BRINTELLIX ORAL DROPS SOLUTION 20 MG/ML,Vortioxetine,NDA-2: New dosage form,LUNDBECK SINGAPORE PTE. LTD.,22/08/2022,SIN16577P
KORSUVA SOLUTION FOR INJECTION 50 MCG/ML,Difelikefalin,NDA-1: New chemical entity,VIFOR PHARMA ASIA PACIFIC PTE. LTD.,25/08/2022,SIN16582P
"YULAREB FILM-COATED TABLET 50MG, 100MG, 150MG",Abemaciclib,NDA-2 and NDA-3,DKSH SINGAPORE PTE. LTD.,22/08/2022,"SIN16574P, SIN16575P, SIN16576P"
ABEVMY™ CONCENTRATE FOR SOLUTION FOR INFUSION 25MG/ML,Bevacizumab,NDA-2,MYLAN PHARMACEUTICALS PTE. LTD.,29/08/2022,SIN16583P
NEPEXTO SOLUTION FOR INJECTION IN PRE-FILLED SYRINGE 25MG/0.5MLNEPEXTO SOLUTION FOR INJECTION IN PRE-FILLED SYRINGE 50MG/MLNEPEXTO SOLUTION FOR INJECTION IN PRE-FILLED PEN 50MG/ML,Etanercept,NDA-2: BiosimilarNDA-3: Subsequent strength,MYLAN PHARMACEUTICALS PTE. LTD.,04/07/2022,SIN16531PSIN16532PSIN16533P
FORTACIN CUTANEOUS SPRAY SOLUTION 7.5MG/DOSE + 2.5MG/DOSE,Lidocaine/Prilocaine,NDA-2: New dosage form/indication,Orient Europharma,5/7/2022,SIN16538P
VOCABRIA FILM-COATED TABLETS 30MGVOCABRIA PROLONGED-RELEASE SUSPENSION FOR INJECTION 600 MG/3 MLVOCABRIA PROLONGED-RELEASE SUSPENSION FOR INJECTION 400 MG/ 2 ML,Cabotegravir,NDA-1: New chemical entity,GLAXOSMITHKLINE PTE LTD,5/7/2022,"SIN16541P, SIN16542P, SIN16543P"
"SCEMBLIX FILM-COATED TABLET 20 MG, SCEMBLIX FILM-COATED TABLET 40 MG",Asciminib hydrochloride,NDA-1: New chemical entityNDA-3: New strength,NOVARTIS (SINGAPORE) PTE LTD,05/07/2022,"SIN16539P, SIN16540P"
SALONPAS DICLOFENAC PATCH 15MG,Diclofenac Sodium,NDA-2: New dosage form,"Hisamitsu Pharmaceutical Co., Inc. Singapore Branch",07/070/2022,SIN16546P
RYBREVANT CONCENTRATE FOR SOLUTION FOR INFUSION 350MG/7ML,Amivantamab 50mg/ml,NDA-1: New biological entity,JOHNSON & JOHNSON PTE. LTD.,13/07/2022,SIN16548P
TEPADINA POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 100 MG/VIALTEPADINA POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 15 MG/VIAL,Thiotepa,NDA-1: New chemical entityNDA-3: New strength,AXXESSBIO PTE LID,18/7/2022,SIN16552PSIN16553P
ROZEVON FILM-COATED TABLET 40MG/10MGROZEVON FILM-COATED TABLET 20MG/10MGROZEVON FILM-COATED TABLET 10MG/10MGROZEVON FILM-COATED TABLET 5MG/10MG,Active ingredient,NDA-2: New combination,NOVEM PHARMA PRIVATE LIMITED,04/07/2022,SIN16534PSIN16535PSIN16536PSIN16537P
PRIMOVIST SOLUTION FOR INJECTION IN VIAL 0.25 mmol/ml,"Gadoxetate, disodium",NDA-2: New presentation,BAYER (SOUTH EAST ASIA) PTE LTD,21/07/2022,SIN16559P
MAXIGESIC IV SOLUTION FOR INFUSION 1000MG/300MG PER 100ML VIAL,Ibuprofen sodium dihydrate/ Paracetamol,NDA-2: New combination,APEX PHARMA MARKETING PTE. LTD.,03/06/2022,SIN16507P
YUFLYMA SOLUTION FOR INJECTION IN PRE-FILLED PEN 40MG/0.4ML,Adalimumab,NDA-2,CELLTRION HEALTHCARE SINGAPORE PRIVATE LIMITED,09/06/2022,SIN16508P
FYCOMPA ORAL SUSPENSION 0.5MG/ML,Perampanel,NDA-2,EISAI (SINGAPORE) PTE LTD,10/06/2022,SIN16512P
VABYSMO SOLUTION FOR INJECTION 6 MG/0.05 ML,Faricimab,NDA-1: New biological entity,ROCHE SINGAPORE PTE. LTD.,16/06/2022,SIN16514P
LUMAKRAS FILM-COATED TABLET 120MG,Sotorasib,NDA-1: New chemical entity,AMGEN BIOTECHNOLOGY SINGAPORE PTE LTD,28/06/2022,SIN16522P
RYALTRIS NASAL SPRAY 600/25MCG,"Mometasone furoate monohydrate, Olopatadine HCl",NDA-2: New combination,GLENMARK PHARMACEUTICALS SINGAPORE PTE. LTD.,28/06/2022,SIN16523P
RINVOQ EXTENDED-RELEASE TABLETS 30MG,Upadacitinib hemihydrate equivalent to Upadacitinib,NDA-3: New strength,ABBVIE PTE LTD,21/06/2022,SIN16518P
XARELTO GRANULES FOR ORAL SUSPENSION 1MG/ML,Rivaroxaban,NDA-2: New dosage form,BAYER (SOUTH EAST ASIA) PTE LTD,06 May 2022,SIN16487P
NOXBETA TABLET 5 MG,Nebivolol (as nebivolol hydrochloride),NDA-2: New brand,A. MENARINI SINGAPORE PTE. LTD.,06 May 2022,SIN16486P
PARMODIA FILM-COATED TABLETS 0.1 MG,Pemafibrate,NDA-1,DKSH SINGAPORE PTE. LTD.,18 May 2022,SIN16492P
PADCEV POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 20MG AND 30MG,Enfortumab vedotin,NDA-1,ASTELLAS PHARMA SINGAPORE PTE. LTD.,30 May 2022,"SIN16502P, SIN16503P"
TIVICAY DISPERISBLE TABLET 5MG,Dolutegravir,NDA-2,GLAXOSMITHKLINE PTE LTD,30 May 2022,SIN16504P
BOOSTAGEN SUSPENSION FOR INJECTION,"Diphtheria Toxoid (DT)(2.0 Lf / 0.5ml), Filamentous Haemagglutinin (FHA)(5ug/0.5ml), Recombinant Pertussis Toxin (rPT)(5ug/0.5ml), Tetanus Toxoid (TT)(7.5 Lf/0.5ml)",NDA-1,NOVEM HEALTHCARE PTE LTD,18/05/2022,SIN16493P
"ZEJULA FILM-COATED TABLET 100MG, 200MG, 300MG",Niraparib,NDA-1: New chemical entityNDA-3: New strength,GLAXOSMITHKLINE PTE LTD,01/04/2022,"SIN16459P, SIN16460P, SIN16461P"
HIBOR SOLUTION FOR INJECTION IN PRE-FILLED SYRINGES 3500 IU ANTI-XA/0.2 MLHIBOR SOLUTION FOR INJECTION IN PRE-FILLED SYRINGES 2500IU ANTI-XA/0.2ML,Bemiparin Sodium,NDA-1: New chemical entityNDA-3: New strength,DCH AURIGA SINGAPORE,01/04/2022,"SIN16462P, SIN16463P"
B.BRAUN IBUPROFEN SOLUTION FOR INFUSION 4MG/ML,Ibuprofen,NDA-2: New dosage form,B.BRAUN SINGAPORE PTE LTD,04/04/2022,SIN16467P
REBLOZYL POWDER FOR SOLUTION FOR INJECTION 25MG/VIAL AND 75MG/VIAL,Luspatercept,NDA-1: New biological entityNDA-3: New strength,BRISTOL-MYERS SQUIBB (SINGAPORE) PTE. LTD.,06/04/2022,"SIN16470P, SIN16471P"
GONAL-F 150 IU/0.25 ML (11 MICROGRAMS/0.25 ML) SOLUTION FOR INJECTION IN PRE-FILLED PEN,Follitropin alfa,NDA-3: New strength,MERCK PTE. LTD,11/04/2022,SIN16473P
ALIGRIN TABLET 20MG,Bilastine,NDA-2,A. MENARINI SINGAPORE PTE LTD,12/04/2022,SIN16474P
XPOVIO FILM-COATED TABLETS 20MG,Selinexor,NDA-1: New chemical/biological entity,ANTENGENE SINGAPORE PTE LTD,01/03/2022,SIN16434P
VANCOVER CAPSULE 125MG AND 250MG,Vancomycin,NDA-2/3: New formulation and new strength,ORIENT EUROPHARMA PTE LTD,11/03/2022,SIN16444P and SIN16445P
PRONAXEN ORAL SUSPENSION 25MG/ML,Naproxen,NDA-2: New formulation,ORION PHARMA (SG) PTE LTD,23/03/2022,SIN16449P
RUXIENCE CONCENTRATE FOR SOLUTION FOR INFUSION 100MG/ML AND 500MG/50ML,Rituximab,NDA-2: Biosimilar,PFIZER PRIVATE LIMITED,25/03/2022,SIN16451P and SIN16452P
"MENQUADFI - MENINGOCOCCOL VACCINE, SOLUTION FOR INJECTION IN 0.5 ML VIAL",Neisseria meningitidis group A polysaccharide 10 µgNeisseria meningitidis group C polysaccharide 10 µgNeisseria meningitidis group Y polysaccharide 10 µgNeisseria meningitidis group W polysaccharide 10 µgConjugated to tetanus toxoid carrier protein 55 µg,NDA-2: New Dosage,SANOFI-AVENTIS SINGAPORE PTE. LTD.,29/03/2022,SIN16454P
DUPIXENT SOLUTION FOR INJECTION IN A PRE-FILLED SYRINGE 100MG/0.67ML,Dupilumab,NDA-2: New formulation,SANOFI-AVENTIS SINGAPORE PTE. LTD.,30/03/2022,SIN16458P
LUCONAC EXTERNAL SOLUTION FOR NAILS 5% W/W,Luliconazole,NDA-1: New chemical,ZUELLIG PHARMA PTE LTD,14/02/2022,SIN16428P
CONTRAVE PROLONGED RELEASE TABLET 8MG/90MG,Naltrexone hydrochloride / bupropion hydrochloride,NDA-2: New combination,INOVA PHARMACEUTICALS (SINGAPORE) PTE. LIMITED,03/01/2022,SIN16411P
"CIBINQO FILM COATED TABLETS 50MG, 100MG, 200MG",Abrocitinib,NDA-1: New chemical entityNDA-3: New strength,PFIZER PRIVATE LIMITED,05/01/2022,"SIN16412P, SIN16413P, SIN16414P"
SALONPAS DICLOFENAC GEL 1%,Diclofenac,NDA-2: New dosage form,"HISAMITSU PHARMACEUTICAL CO., INC SINGAPORE BRANCH",17/01/2022,SIN16418P
TRODELVY POWDER FOR SOLUTION FOR INFUSION 180 MG/VIAL,Sacituzumab govitecan,NDA-1: New biological entity,EVEREST MEDICINES (SINGAPORE) PTE. LTD.,31/01/2022,SIN16425P
NUFILONG SOLUTION FOR INJECTION IN A PRE-FILLED SYRINGE 6MG/0.6ML,Pegfilgrastim,NDA-2: Biosimilar,PHARMA TO MARKET PTE. LTD,07/12/2021,SIN16393P
COMIRNATY DISPERSION FOR INJECTION 30MCG/DOSECOMIRNATY CONCENTRATE FOR DISPERSION FOR INJECTION 10MCG/DOSE,Tozinameran,NDA-1/2: New biological entity,BIONTECH PHARMACEUTICALS ASIA PACIFIC PTE LTD,10/12/2021,"SIN16396P, SIN16397P"
ONCASPAR POWDER FOR SOLUTION FOR INJECTION / INFUSION 750 U/ML,Pegaspargase,NDA-1: New biological entity,SERVIER (S) PTE LTD,27/12/2021,SIN16408P
SLINDA FILM-COATED TABLETS 4MG,Drospirenone,NDA-2,Intega Pte Ltd,01/11/2021,SIN16354P
COSENTYX SOLUTION FOR INJECTION IN PRE-FILLED UNOREADY PEN 300MG/2MLCOSENTYX SOLUTION FOR INJECTION IN PREFILLED SYRINGE 300MG/2ML,Secukinumab,NDA-2 and NDA-3,Novartis (Singapore) Pte Ltd,02/11/2021,"SIN16358P, SIN16359P"
HULIO SOLUTION FOR INJECTION 40MG/0.8ML IN PRE-FILLED SYRINGEHULIO SOLUTION FOR INJECTION 40MG/0.8ML IN PRE-FILLED PEN,Adalimumab,NDA-2,Mylan Pharmaceuticals Pte. Ltd.,02/11/2021,"SIN16360P, SIN16361P"
DOMIDE CAPSULES 50mg,Thalidomide,NDA-1: New chemical entity,PHARM-D SINGAPORE PRIVATE LIMITED,02/11/2021,SIN16362P
CANHERA LYOPHILIZED POWDER FOR INJECTION 440MG,Trastuzumab,NDA-2,Pharma To Market Pte Ltd,25 Nov 2021,SIN16384P
KERENDIA FILM-COATED TABLET 10 MGKERENDIA FILM-COATED TABLET 20 MG,Finerenone,NDA-1 and NDA-3,BAYER (SOUTH EAST ASIA) PTE LTD,25/11/2021,"SIN16387P, SIN16388P"
TEPMETKO FILM-COATED TABLET 225 MG,Tepotinib,NDA-1,Merck Pte Ltd,25/11/2021,SIN16386P
"SKYRIZI SOLUTION FOR INJECTION IN PRE-FILLED SYRINGE 150MG/ML,SKYRIZI SOLUTION FOR INJECTION IN PRE-FILLED PEN 150MG/ML",Risankizumab,NDA-2: New dosage form / strength,ABBVIE PTE. LTD.,01/10/2021,"SIN16338P, SIN16339P"
BRUKINSA CAPSULE 80MG,Zanubrutinib,NDA-1: New chemical entity,BEIGENE SINGAPORE PTE. LTD.,01/10/2021,SIN16341P
"VERQUVO FILM-COATED TABLET 10MG, 5MG, 2.5MG",Vericiguat,NDA-1: New chemical entityNDA-3: New strength,BAYER (SOUTH EAST ASIA) PTE LTD,01/10/2021,"SIN16340P, SIN16342P, SIN16343P"
AJOVY SOLUTION FOR INJECTION IN PRE-FILLED PEN 225 MG/1.5 ML,Fremanezumab,NDA-2*: New presentation,TEVA PHARMACEUTICAL INVESTMENTS SINGAPORE PTE. LTD.,04/10/2021,SIN16344P
POLIVY POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 30 MG,Polatuzumab vedotin,NDA-3: New strength,ROCHE SINGAPORE PTE. LTD.,05/10/2021,SIN16345P
LATUDA TABLET 20MG,Active ingredient,NDA-3: New strength,DKSH SINGAPORE PTE. LTD.,12/10/2021,SIN16346P
ENSPRYNG SOLUTION FOR INJECTION IN PREFILLED SYRINGE 120MG/1ML,Satralizumab,NDA-1,ROCHE SINGAPORE PTE. LTD.,19/10/2021,SIN16348P
EVRYSDI POWDER FOR ORAL SOLUTION 0.75MG/ML,Risdiplam,NDA-1: New chemical entity,ROCHE SINGAPORE PTE. LTD.,20/10/2021,SIN16349P
"TABRECTA FILM-COATED TABLET 150mg,TABRECTA FILM-COATED TABLET 200mg",Capmatinib,NDA-1: New chemical entityNDA-3: New strength,NOVARTIS (SINGAPORE) PTE LTD,22/10/2021,"SIN16350P, SIN16351P"
ENHERTU POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 100MG/VIAL,Trastuzumab deruxtecan,NDA-1: New biological entity,ASTRAZENECA SINGAPORE PTE LTD,22/10/2021,SIN16352P
PROVEBLUE SOLUTION FOR INJECTION 5MG/ML,Methylthioninium chloride trihydrate (methylene blue),NDA-1: New chemical/biological entity,PHARM-D SINGAPORE PRIVATE LIMITED,03/09/2021,SIN16319P
DAYVIGO FILM-COATED TABLET 5MG AND 10MG,Lemborexant,NDA-1: New chemical entityNDA-3: New strength,Eisai (Singapore) Pte Ltd,15/09/2021,"SIN16320P, SIN16321P"
"Ibrance Film Coated Tablet 75 mg, 100 mg, 125 mg",Palbociclib,NDA-2: New dosage form,Pfizer Private Limited,15/09/2021,"SIN16322P, SIN16323P, SIN16324P"
VYEPTI CONCENTRATE FOR SOLUTION FOR INFUSION 100MG/ML,Eptinezumab,NDA-1: New biological entity,LUNDBECK SINGAPORE PTE LTD,16 /09/2021,SIN16325P
TAKIPRIL SOLUTION FOR INJECTION 20MG/ML,Prilocaine hydrochloride,NDA-2: New strength / combination,B. BRAUN SINGAPORE PTE LTD,17/09/2021,SIN16326P
ZEPZELCA POWDER FOR SOLUTION FOR INFUSION 4MG/VIAL,Lurbinectedin,NDA-1: New chemical entity,Specialised Therapeutics Asia Pte Ltd,21/09/2021,SIN16327P
INHIXA SOLUTION FOR INJECTION 8000 ANTI-Xa IU (80MG)/0.8ML,Enoxaparin Sodium,NDA-2: New dosage form,HC HEALTHCARE PTE. LTD.,22/09/2021,SIN16331P
YUPELRI INHALATION SOLUTION 175MCG/3ML,Revefenacin,NDA-1: New chemical entity,MYLAN PHARMACEUTICALS PTE. LTD.,28/09/2021,SIN16336P
COSENTYX POWDER FOR SOLUTION FOR INJECTION IN PREFILLED SYRINGE 75MG/0.5ML,Secukinumab,NDA-3: New strength,Novartis (Singapore) Pte Ltd,1 Sep 21,SIN16315P
LEQVIO SOLUTION FOR INJECTION IN PREFILLED SYRINGE 284 MG/1.5 ML,Inclisiran sodium eqv inclisiran,NDA-1: New chemical entity,NOVARTIS (SINGAPORE) PTE LTD,03/08/2021,SIN16295P
HYRIMOZ SOLUTION FOR INJECTION IN PRE-FILLED PEN 40MG/0.8ML,Adalimumab,NDA-2: New dosage form,NOVARTIS (SINGAPORE) PTE LTD,08/07/2021,SIN16273P
"TECHNESCAN PYP, KIT FOR RADIOPHARMACEUTICAL PREPARATION, 20MG/VIAL",Sodium pyrophosphate decahydrate,NDA-1: New chemical entity,LICENCE HOLDER IN CAPS,09/07/2021,SIN16274P
KOSELUGO HARD CAPSULES 10MG/ 25MG,Selumetinib,NDA-1/ 3,ASTRAZENECA SINGAPORE PTE LTD,09/07/2021,"SIN16275P, SIN16276P"
PERTAGEN SUSPENSION FOR INJECTION,"Filamentous Haemagglutinin, Recombinant Pertussis Toxin",NDA-2,NOVEM HEALTHCARE PTE LTD,23/07/2021,SIN16283P
"ZIRABEV SOLUTION FOR INJECTION 100 mg/4 mL,ZIRABEV SOLUTION FOR INJECTION 400 mg/16 mL",Bevacizumab (PF-06439535),NDA-2/3,PFIZER PRIVATE LIMITED,26/07/2021,"SIN16286P, SIN16287P"
ACCOFIL SOLUTION FOR INJECTION OR INFUSION IN PRE-FILLED SYRINGE 48 MU/0.5ML AND 30 MU/0.5ML,Filgrastim,NDA-2/3,ACCORD HEALTHCARE PRIVATE LIMITED,08/07/2021,SIN16267P and SIN16268P
VYZULTA (LATANOPROSTENE BUNOD) OPHTHALMIC SOLUTION 0.024%,Latanoprostene Bunod,NDA-1: New chemical entity,Bausch & Lomb (Singapore) Private Limited,01/06/2021,SIN16214P
"RYBELSUS TABLET 3MG, 7MG AND 14MG",Semaglutide,NDA-1: New chemical entityNDA-3: New strength,NOVO NORDISK PHARMA (SINGAPORE) PTE LTD,01/06/2021,"SIN16251P, SIN16216P, SIN16217P"
"IMBRUVICA FILM-COATED TABLETS 140MG, 280MG, 420MG, 560MG",Ibrutinib,NDA-2: New dosage formNDA-3: New strength,JOHNSON & JOHNSON PTE. LTD.,03/06/2021,"SIN16218P, SIN16219P, SIN16220P, SIN16221P"
MYLOTARG POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 5MG/ VIAL,Gemtuzumab ozogamicin,NDA-1: New biological entity,PFIZER PRIVATE LIMITED,21/06/2021,SIN16243P
PELGRAZ SOLUTION FOR INJECTION IN A PRE-FILLED SYRINGE 6MG/0.6ML,Pegfilgrastim,NDA-2: Biosimilar,ACCORD HEALTHCARE PRIVATE LIMITED,24/06/2021,SIN16249P
"PHESGO SOLUTION FOR INJECTION 1200 MG/600 MG/15 ML, 600 MG/600 MG/10 ML","Pertuzumab, Trastuzumab",NDA-2: New combination/dosing regimenNDA-3: New strength,ROCHE SINGAPORE PTE. LTD.,22/06/2021,"SIN16247P, SIN16248P"
REPLAGAL CONCENTRATE FOR SOLUTION FOR INFUSION 1 MG/ML,Agalsidase alfa,NDA-1: New biological entity,TAKEDA PHARMACEUTICALS (ASIA PACIFIC) PTE. LTD.,17/05/2021,SIN16197P
"APROVASC FILM COATED TABLET 150MG/5MG, 300MG/5MG, 300MG/10MG","Irbesartan, amlodipine besilate",NDA-2: New combination,SANOFI-AVENTIS SINGAPORE PTE. LTD.,14/05/2021,"SIN16194P, SIN16195P, SIN16196P"
REMLEAS HARD CAPSULES 40MG,Valbenazine ditosylate 73mg eqv valbenazine 40mg,NDA-1: New chemical entity,MITSUBISHI TANABE PHARMA SINGAPORE PTE LTD,19/5/2021,SIN16198P
KANJINTI POWDER FOR INJECTION 150MG/VIAL AND 440MG/VIAL,Trastuzumab,NDA-2: BiosimilarNDA-3: New strength,AMGEN BIOTECHNOLOGY SINGAPORE PTE LTD,25/5/2021,"SIN16206P, SIN16207P"
EVENITY SOLUTION FOR INJECTION IN PRE-FILLED SYRINGE 105 MG/1.17 ML,Romosozumab,NDA-1: New chemical entity,AMGEN BIOTECHNOLOGY SINGAPORE PTE LTD,27/5/2021,SIN16208P
"CRYSVITA® SOLUTION FOR INJECTION 10MG/ML, 20MG/ML, 30MG/ML",Burosumab,"NDA-1: New chemical entity, NDA-3: New strengths",Kyowa Kirin Asia Pacific Pte Ltd,3/5/2021,"SIN16176P, SIN16177P, SIN16178P"
