No.,No. Rujukan,No. Pendaftaran MAL,Nama Produk, Pemegang,Pengilang,Tempoh Pendaftaran,nan,Catatan
119,201907292432T,MAL200360 47TC,TIGERUS MYCOAID CAPSULE,"LIGNO & US SDN BHD, SELANGOR","THE ORIGIN FOODS SDN BHD, SELANGOR",11/3/2020,11/3/2025,New Product Registration
120,201909062651T,MAL200360 48T,EU YAN SANG GINSENG PLUS HERBAL TEA,"WENG LI SDN BHD, KUALA LUMPUR","WENG LI SDN BHD, KUALA LUMPUR",11/3/2020,11/3/2025,New Product Registration
121,201908122496TC,MAL200360 49TC,LIONBALL QIANLI ZHUIFENG OIL,"SYARIKAT NANG HIN TRADING SDN BHD, SELANGOR","NATURE PACK ENTERPRISE, NEGERI SEMBILAN",11/3/2020,11/3/2025,New Product Registration
122,201908192529T,MAL200360 50T,BIO+ GINGKO BACOPA CAPSULE,"ESPRIT CARE SDN BHD, SELANGOR","ESPRIT CARE SDN BHD, SELANGOR",11/3/2020,11/3/2025,New Product Registration
123,201911012894T,MAL200360 51T,APOTEC EASTEROL CAPSULE,"BIOALPHA INTERNATIONAL SDN BHD, SELANGOR","BIOALPHA INTERNATION AL SDN BHD, SELANGOR",11/3/2020,11/3/2025,New Product Registration
124,202001063218N,MAL200460 01NC,GOLD LEAF VITAMIN C 1000MG TABLET,"AESTHESUISSE SDN BHD,","Esprit Care Sdn. Bhd., SELANGOR.",2/4/2020,2/4/2025,New Product Registration
125,202001063232N,MAL200460 02N,BIOFIZZ COENZYME Q10 76MG TABLET,"Esprit Care Sdn. Bhd.,","Esprit Care Sdn. Bhd., SELANGOR.",2/4/2020,2/4/2025,New Product Registration
126,202001103281N,MAL200460 03NCR,KYOSEI SQUALENE 500MG SOFT GEL,"STELLAR BIO SDN BHD,","Alpha Laboratories (NZ) Limited, NEW ZEALAND.",2/4/2020,2/4/2025,New Product Registration
127,201912133150N,MAL200460 04NC,MB VIT D2 1000IU CAPSULE,MB NUTRACEUTICAL S SDN BHD,YANLING NATURAL HYGIENE SDN. BHD.,2/4/2020,2/4/2025,New Product Registration
128,201908092493N,MAL200460 05NC,SOLIB SACCHAROMYC ES BOULARDII 250 MG POWDER,HEALOL PHARMACEUTICA LS SDN. BHD.,", M/S UNI- MEDICO LABS, INDIA.",2/4/2020,2/4/2025,New Product Registration
129,201912163156N,MAL200460 06N,YL OMEGA-3 FISH OIL 1000MG SOFTGEL,"YANLING NATURAL HYGIENE SDN. BHD., SELANGOR.","YANLING NATURAL HYGIENE SDN. BHD.,",2/4/2020,2/4/2025,New Product Registration
130,201909262738N,MAL200460 07NC,GNC MILESTONES CHILD ALGAE DHA 225MG/1.6ML DROPS,"ONI GLOBAL (MALAYSIA) SDN BHD,","CULTECH LIMITED, UNITED KINGDOM.",2/4/2020,2/4/2025,New Product Registration
131,201912233203N,MAL200460 08NC,ASCENTIA MAGELAX CAPSULE,ASCENTIA HEALTHCARE PLT,YANLING NATURAL HYGIENE SDN. BHD.,2/4/2020,2/4/2025,New Product Registration
132,202002243472N,MAL200460 09N,EXCELAB SAMBUREX CAPSULE,"EXCEL HERBAL INDUSTRIES SDN. BHD.,","EXCEL HERBAL INDUSTRIES SDN. BHD.,",2/4/2020,2/4/2025,New Product Registration
133,201910172832N,MAL200460 10N,VITALITA B- COMPLEX PLUS C & MINERALS EFFERVESCENT GRANULES (ORANGE FLAVOUR),WINWA MEDICAL SDN. BHD.,WINWA MEDICAL SDN. BHD.,2/4/2020,2/4/2025,New Product Registration
134,201908132505N,MAL200460 11N,APOTEC COLLABRIGHT CAPSULE,BIOALPHA INTERNATIONAL SMDBN . BHD.,BIOALPHA INTERNATION AL SDN. BHD.,2/4/2020,2/4/2025,New Product Registration
135,201908142510N,MAL200460 12NCR,BGA PROBIO CAPSULE,"NUTRACEUTICAL S SDN BHD,","CHR. HANSEN A/S,DENMARK",2/4/2020,2/4/2025,New Product Registration
136,201908302617N,MAL200460 13NCR,HERBS OF GOLD MAGNESIUM 220MG TABLET,"PHARMADIRECT SDN. BHD.,","LIPA PHARMACEUTI CALS LIMITED, AUSTRALIA",2/4/2020,2/4/2025,New Product Registration
137,201910012759N,MAL200460 14NC,KORDEL’S FLORAGOLD-A PROBIOTICS WITH PREBIOTIC ENTERIC COATED CAPSULE,"CAMBERT(M) SDN BHD.,","BIFODAN A/S, DENMARK",2/4/2020,2/4/2025,New Product Registration
138,202001063217N,MAL200460 15NC,BIOFIZZ CALCIUM PLUS TABLET,"AESTHESUISSE SDN BHD,","ESPRIT CARE SDN. BHD.,",2/4/2020,2/4/2025,New Product Registration
139,201910092806N,MAL200460 16NC,UHC AGERASIA X SOFTGEL,"UHC SDN. BHD. PULAU PINANG,",ALPHA LABORATORIE S (NZ) LTD. NEW ZEALAND,2/4/2020,2/4/2025,New Product Registration
140,201912033090N,MAL200460 17NC,NATURE'S WAY RESTORE PREBIOTIC & PROBIOTICS DAILY HEALTH CAPSULE,"PHARMACARE (ASIA) SDN BHD., SELANGOR","BJP LABORATORIE S PTY LTD., AUSTRALIA",2/4/2020,2/4/2025,New Product Registration
141,202001063221N,MAL200460 18N,LANG BRAGMAN LB GG CAPSULES,"OMEGA HEALTH PRODUCTS SDN BHD., SELANGOR","OMEGA HEALTH PRODUCTS SDN BHD., SELANGOR",2/4/2020,2/4/2025,New Product Registration
142,202001063223N,MAL200460 19N,LANG BRAGMAN LB GG INULIN + POWDER,"OMEGA HEALTH PRODUCTS SDN BHD., SELANGOR","OMEGA HEALTH PRODUCTS SDN BHD., SELANGOR",2/4/2020,2/4/2025,New Product Registration
143,201911132958N,MAL200460 21NC,QUANTUM PROBIOTIC COMPLEX CAPSULE,QUANTUM UPSTREAM SDN. BHD. SELANGOR,YANLING NATURAL HYGIENE SDN. BHD. SELANGOR,2/4/2020,2/4/2025,New Product Registration
144,201912033092N,MAL200460 23N,PROMEG SOFTGEL,"HEALOL PHARMACEUTICA LSSDN BHD,","GELTEC PRIVATE LIMITED, INDIA",2/4/2020,2/4/2025,New Product Registration
145,201910232850N,MAL200460 22NC,VITAMODE PREGNANCY & BREASTFEEDIN G CAPSULE,"VITAMODE SDN BHD,","YANLING NATURAL HYGIENE SDN. BHD.,",2/4/2020,2/4/2025,New Product Registration
146,202002133431N,MAL200460 24NC,BSM CALCI PLUS TABLET,"BIO-SCIENCE MARKETING SDN. BHD.,","YANLING NATURAL HYGIENE SDN. BHD.,",2/4/2020,2/4/2025,New Product Registration
147,202001133284N,MAL200460 25NCR,MEDNOVA FORSEED M CAPSULE,"MEDNOVA SDN BHD,","ALPHA LABORATORIE S (NZ) LTD, NEW ZEALAND.",2/4/2020,2/4/2025,New Product Registration
148,202002213468N,MAL200460 26NC,NANOMD BRIT- N 2.0 TABLETS,"ELITE HEALTH MD SDN. BHD.,","VITAQUEST INTERNATION AL LLC, UNITED STATES.",2/4/2020,2/4/2025,New Product Registration
149,201912053099N,MAL200460 27NCR,HERBS OF GOLD VITAMIN C + BIOFLAVONOID TABLET,"PHARMADIRECT SDN BHD,","ARNET PHARMACEUTI CAL CORPORATIO N, UNITED STATES.",2/4/2020,2/4/2025,New Product Registration
150,201906202282T,MAL200460 41T,KO DA ZHI SOU SAN EXTRACT GRANULES,"HENDA NATURAL SDN BHD , SELANGOR","KO DA PHARMACEUTI CAL CO LTD, TAIWAN",2/4/2020,2/4/2025,New Product Registration
151,201909122669T,MAL200460 29T,KO DA HWANG CHYI WUU WUH TANG EXTRACT GRANULES,"HENDA NATURAL SDN BHD, SELANGOR","KO DA PHARMACEUTI CAL CO, LTD, TAIWAN",2/4/2020,2/4/2025,New Product Registration
152,201912053108T,MAL200460 30TC,"""TIMING"" NEW SHA SHEN MAI DONG TANG EXTRACT GRANULES","TIMING HERBS SDN BHD, PERAK","WAN YEEN TRADING SDN BHD, PERAK",2/4/2020,2/4/2025,New Product Registration
153,201910082789T,MAL200460 31T,"YANG GAN SAN ""C.F.T.""","CHUAN FENG TANG PHARMACEUTICA L (M) SDN BHD, KUALA LUMPUR","CHUAN FENG TANG PHARMACEUTI CAL CO, LTD (TAOYUAN), TAIWAN",2/4/2020,2/4/2025,New Product Registration
154,201908232574T,MAL200460 32T,JIA WEI YANG GAN WAN 'C.F.T.',"CHUAN FENG TANG PHARMACEUTICA L (M) SDN BHD, KUALA LUMPUR","CHUAN FENG TANG PHARMACEUTI CAL CO, LTD (TAOYUAN), TAIWAN",2/4/2020,2/4/2025,New Product Registration
155,201908232576T,MAL200460 33T,BAI FENG PILLS 'C.F.T.',"CHUAN FENG TANG PHARMACEUTICA L (M) SDN BHD, KUALA LUMPUR","CHUAN FENG TANG PHARMACEUTI CAL CO, LTD (TAOYUAN), TAIWAN",2/4/2020,2/4/2025,New Product Registration
156,201908222558T,MAL200460 34T,SEJAGAT EYE CARE CHEWABLE TABLET,"NMY MANUFACTURIN G SDN BHD, SELANGOR","NMY MANUFACTUR ING SDN BHD, SELANGOR",2/4/2020,2/4/2025,New Product Registration
157,201910102807T,MAL200460 35TC,JOINTTAB CHEWABLE TABLET,"FEREENA BEAUTY & HEALTH SDN BHD, KEDAH","DS PHARMA HERBS SDN. BHD., KEDAH",2/4/2020,2/4/2025,New Product Registration
158,201902281863T,MAL200460 84TC,REAPS VE FLOW CAPSULE,"JOY REAPS HEALTHCARE, SELANGOR","REISHILAB SDN BHD, SELANGOR",2/4/2020,2/4/2025,New Product Registration
159,201908012448T,MAL200460 36T,HMS CONCEPT L LIVPLUZ CAPSULE,"-SG GLOBAL BIOTECH SDN BHD, SELANGOR","SG GLOBAL BIOTECH SDN BHD, SELANGOR",2/4/2020,2/4/2025,New Product Registration
160,201908212553T,MAL200460 37T,NATURE'S GREEN WENHE DANTANG TABLETS,"TONG JUM CHEW (M) SDN. BHD., JOHOR","TONG JUM CHEW PTE LTD, SINGAPORE",2/4/2020,2/4/2025,New Product Registration
161,201905022098T,MAL200460 38TC,ISAGENIX GX CAPSULE,"ISAGENIX (ASIA PACIFIC) MALAYSIA SDN. BHD., KUALA LUMPUR","ARIZONA NUTRITIONAL SUPPLEMENTS , UNITED STATES",2/4/2020,2/4/2025,New Product Registration
162,201906122231T,MAL200460 39TC,HURIX'S INSECT BITES CREAM,"JIN BIN CORPORATION SDN. BHD., KEDAH","J.B. PHARMACY GROUP SDN BHD, KEDAH",2/4/2020,2/4/2025,New Product Registration
163,201909172685T,MAL200460 40TC,FSH JIN LIAN HERBAL TEA,"FU SHENG HANG SDN BHD, PERAK","WAN YEEN TRADING SDN BHD, PERAK",2/4/2020,2/4/2025,New Product Registration
164,201910202842T,MAL200460 41T,NATURE'S GREEN ZUO GU TONG BAO,"TONG JUM CHEW (M) SDN. BHD., JOHOR","TONG JUM CHEW PTE LTD, SINGAPORE",2/4/2020,2/4/2025,New Product Registration
165,201911012892T,MAL200460 42TC,RC RESDUNG CAPSULE,"FEREENA BEAUTY & HEALTH SDN BHD, KEDAH","DS PHARMA HERBS SDN BHD, KEDAH",2/4/2020,2/4/2025,New Product Registration
166,201911263016T,MAL200460 43TC,BIO-ROOT TOK ALI CAPSULE,"INDUSTRIAL BIOTECH ENTERPRISE, PAHANG","TPM NEXUS SDN BHD, PAHANG",2/4/2020,2/4/2025,New Product Registration
167,201910282862T,MAL200460 59TC,DYNAMIC NUTRITION VITALGUARD FRENCH PINE BARK WITH GRAPE SEED & HAEMATOCOCC US PLUVIALIS,"DYNAMIC NUTRITION SDN BHD, SELANGOR","REISHILAB SDN BHD, SELANGOR",2/4/2020,2/4/2025,New Product Registration
168,201911182987T,MAL200460 44T,CAPSULE HT UBAT TRADISIONAL MINYAK GAMAT PLUS,"PEMBEKALAN UBAT HUATHAI SDN BHD, JOHOR","PEMBEKALAN UBAT HUATHAI SDN BHD, JOHOR",2/4/2020,2/4/2025,New Product Registration
169,201909182704T,MAL200460 60TC,AVANOMA CAPSULE,"CAPETOWN WONDER SDN BHD, KUALA LUMPUR","REISHILAB SDN BHD, SELANGOR",2/4/2020,2/4/2025,New Product Registration
170,201908162525T,MAL200460 45TC,PAINFIX PAIN RELIEVING GEL,"RELIVIUM SCIENCES SDN BHD, KUALA LUMPUR","FURLEY BIOEXTRACTS SDN BHD, SELANGOR",2/4/2020,2/4/2025,New Product Registration
171,201911122955T,MAL200460 46T,NATURE'S GREEN JOINT PAIN RELIEF TABLETS,"TONG JUM CHEW (M) SDN BHD, JOHOR","TONG JUM CHEW PTE LTD, SINGAPORE",2/4/2020,2/4/2025,New Product Registration
172,201912103134T,MAL200460 61T,THREE LEGS COOLTOPIA COOLING WATER (PEACH),"SYARIKAT WEN KEN DRUG SDN BHD, JOHOR","PT. KINO INDONESIA, INDONESIA",2/4/2020,2/4/2025,New Product Registration
173,201906042212T,MAL200460 47T,VAIL-BON CHI KEE PAO PILL,"VAIL-BON MEDICAL FACTORY SDN BHD, PULAU PINANG","VAIL-BON MEDICAL FACTORY SDN BHD, PULAU PINANG",2/4/2020,2/4/2025,New Product Registration
174,201907082350T,MAL200460 62TC,SIN WANG HENG BRAND CHUANBEI GAO WITH CORDYCEPS PLUS LIQUID,"SIN WANG HENG HERITAGE SDN BHD, MELAKA","ECOLITE BIOTECH MANUFACTUR ING SDN BHD, JOHOR",2/4/2020,2/4/2025,New Product Registration
175,201909132676T,MAL200460 48TC,TAI FONG GINSENG CORDYCEPS SHAU-WU PLUS CONCENTRATED,"SMART WELLMIN SDN BHD, KEDAH","CHING CHING MEDICINE MANUFACTUR ER, SELANGOR",2/4/2020,2/4/2025,New Product Registration
176,201909062653T,MAL200460 49T,ZECUF HERBAL COUGH LOZENGES (HERBAL FLAVOUR) (NO ADDED SUGAR),"SYNERGY MEDITECH (M) SDN BHD, SELANGOR","UNIQUE PHARMACEUTI CAL LABORATORIE S, INDIA",2/4/2020,2/4/2025,New Product Registration
177,201912193181T,MAL200460 50TC,DSY ALGAE 500MG CAPSULE,"CTA NUTRICEUTICAL S (ASIA) SDN BHD, KUALA LUMPUR","THE MITOMASA SDN. BHD., SELANGOR",2/4/2020,2/4/2025,New Product Registration
178,201912183169T,MAL200460 51TC,TAIMAL BRAND PANAX GINSENG 400MG CAPSULES,"ETERNAL CASH SDN. BHD., SELANGOR","GREEN CARE MANUFACTUR E, KUALA LUMPUR",2/4/2020,2/4/2025,New Product Registration
179,201910072771T,MAL200460 52TC,SF CORDYCEPS SINENSIS 400MG CAPSULES,"SHERN FAR TRADING SDN BHD, PULAU PINANG","WAN YEEN TRADING SDN. BHD., PERAK",2/4/2020,2/4/2025,New Product Registration
180,201911132962T,MAL200460 53TC,BIOFIZZ GINKGO EXTRACT 120MG TABLET,"ORIONIX SDN BHD, SELANGOR","ESPRIT CARE SDN BHD, SELANGOR",2/4/2020,2/4/2025,New Product Registration
181,201911213001T,MAL200460 54TC,VITAHEALTH GINKGO EXTRACT 119MG TABLET,"VITAHEALTH BIOTECH SDN BHD, SELANGOR","HERBAL SCIENCE SDN BHD, SELANGOR",2/4/2020,2/4/2025,New Product Registration
182,202001073249T,MAL200460 55TC,BSM SPIRULINA 400MG CHEWABLE TABLET,"BIO-SCIENCE MARKETING SDN BHD, KUALA LUMPUR","YANLING NATURAL HYGIENE SDN BHD, SELANGOR",2/4/2020,2/4/2025,New Product Registration
183,202001203320T,MAL200460 56T,APOTEC CORDYCEPS CICADAE 350MG CDAKPES ULE,"BIOALPHA INTERNATIONAL SDN BHD, SELANGOR","BIOALPHA INTERNATION AL SDN BHD, SELANGOR",2/4/2020,2/4/2025,New Product Registration
184,201907182382T,MAL200460 57T,MANGOSTEEN PEEL EXTRACT 497.5MG,"DKE INNO IN BIOTECH SDN BHD, KEDAH","DKE INNO IN BIOTECH SDN BHD, KEDAH",2/4/2020,2/4/2025,New Product Registration
185,201905302188T,MAL200460 58TC,TRUELIFESCIEN CES WOUND AID CREAM,"TRUELIFESCIENC ES SDN BHD, SELANGOR","MAJOR INTEREST SDN BHD, KEDAH",2/4/2020,2/4/2025,New Product Registration
964,201707200567A,MAL200460 98AZ,EPITECH Levetiracetam Concentrate for Infusion 500mg/5ml,AVERROES PHARMACEUTICA LS SDN. BHD.,Global Pharmatech Pvt. Ltd.(INDIA),30/4/2020,30/4/2025,New Registration Approval
965,201802080070A,MAL200460 99AZ,Pantomac (Pantoprazole Gastro Resistant Tablet 40 mg),HEALOL PHARMACEUTICA LS SDN. BHD.,MICRO LABS LIMITED(INDI A),30/4/2020,30/4/2025,New Registration Approval
966,201805140425A,MAL200461 03ACRZ,Cebrotonin 800mg film- coated tablets,DCH AURIGA (MALAYSIA) SDN. BHD.,Artesan Pharma GmbH & Co. KG(GERMANY),30/4/2020,30/4/2025,New Registration Approval
967,201802190103A,MAL200461 00AZ,ZIOMYCIN (AZITHROMYCI N TABLETS 250MG),SYNERRV SDN BHD,KUSUM HEALTHCARE PVT. LTD.(INDIA),30/4/2020,30/4/2025,New Registration Approval
968,201802190104A,MAL200461 01AZ,ZIOMYCIN (AZITHROMYCI N TABLETS 500MG),SYNERRV SDN BHD,KUSUM HEALTHCARE PVT. LTD.(INDIA),30/4/2020,30/4/2025,New Registration Approval
969,201808210906A,MAL200460 63ARZ,LOXOTOP PAP 100mg Patch,ZUELLIG PHARMA SDN BHD,"Lead Chemical Co., Ltd. Hisagane Plant(JAPAN)",30/4/2020,30/4/2025,New Registration Approval
971,201804260382A,MAL200461 02ACZ,Clarithromycin HEC 500 mg Prolonged- release Tablets,MEDISPEC (M) SDN.BHD,"Sunshine Lake Pharma Co., Ltd.(CHINA)",30/4/2020,30/4/2025,New Registration Approval
974,201809040974A,MAL200460 64AZ,Baclofen Intrathecal Sintetica 0.05mg/ml Solution Injectable,IMEKS PHARMA SDN. BHD.,Sintetica S.A.(SWITZER LAND),30/4/2020,30/4/2025,New Registration Approval
975,201809030963A,MAL200460 82AZ,Livalo Film- coated Tablets 2mg,DKSH MALAYSIA SDN BHD,"Kowa Company, Ltd, Nagoya Factory(JAPAN )",30/4/2020,30/4/2025,New Registration Approval
976,201807040664A,MAL200461 07AZ,Deslova (Desloratadine Syrup 2.5mg/ 5ml),Synergy Meditech (M) Sdn Bhd,Swiss Garnier Life Sciences(INDI A),30/4/2020,30/4/2025,New Registration Approval
977,201809030964A,MAL200460 83AZ,Livalo Film- coated Tablets 4mg,DKSH MALAYSIA SDN BHD,"Kowa Company, Ltd, Nagoya Factory(JAPAN )",30/4/2020,30/4/2025,New Registration Approval
978,201806130584A,MAL200461 04AZ,IRBEJUB H (Irbesartan and Hydrochlorothia zide Tablets 150 mg+12.5 mg),HEALOL PHARMACEUTICA LS SDN. BHD.,Jubilant Generics Limited(INDIA ),30/4/2020,30/4/2025,New Registration Approval
979,201806130585A,MAL200461 05AZ,IRBEJUB H (Irbesartan and Hydrochlorothia zide Tablets 300 mg+12.5 mg),HEALOL PHARMACEUTICA LS SDN. BHD.,Jubilant Generics Limited(INDIA ),30/4/2020,30/4/2025,New Registration Approval
980,201806130586A,MAL200461 06AZ,IRBEJUB H (Irbesartan and Hydrochlorothia zide Tablets 300 mg+25 mg),HEALOL PHARMACEUTICA LS SDN. BHD.,Jubilant Generics Limited(INDIA ),30/4/2020,30/4/2025,New Registration Approval
981,201808170894A,MAL200461 08ACZ,hovid- Olanzapine Orodispersible Tablet 10mg,HOVID BERHAD,Jubilant Generics Limited(INDIA ),30/4/2020,30/4/2025,New Registration Approval
982,201810241256A,MAL200461 13AZ,PBF FUSIDIC ACID CREAM 2% w/w,SUNWARD PHARMACEUTICA L SDN. BHD.,PANION & BF BIOTECH INC.(TAIWAN),30/4/2020,30/4/2025,New Registration Approval
983,201809050978H A,MAL200461 53HAR,EXZOLT 10MG/ML SOLUTION FOR USE IN DRINKING WATER FOR CHICKENS,Intervet (m) Sdn Bhd,Intervet Productions S.A.(FRANCE),30/4/2020,30/4/2025,New Registration Approval
984,201808170895A,MAL200461 09ACZ,hovid- Olanzapine Orodispersible Tablet 5mg,HOVID BERHAD,Jubilant Generics Limited(INDIA ),30/4/2020,30/4/2025,New Registration Approval
985,201809261095A,MAL200461 10AZ,Axcel Azithromycin- 500mg Tablet,KOTRA PHARMA (M) SDN. BHD.,KOTRA PHARMA (M) SDN. BHD.(MALAYS IA),30/4/2020,30/4/2025,New Registration Approval
986,201809251078A,MAL200460 85ARZ,Nucala 100mg Powder for Solution for Injection,GLAXOSMITHKLI NE PHARMACEUTICA L SDN. BHD.,GlaxoSmithKli ne Manufacturing S.p.A(ITALY),30/4/2020,30/4/2025,New Registration Approval
987,201901101698A,MAL200460 66AZ,Baclofen Intrathecal Sintetica 2mg/ml Solution Injectable,IMEKS PHARMA SDN. BHD.,Sintetica S.A.(SWITZER LAND),30/4/2020,30/4/2025,New Registration Approval
988,201901101699A,MAL200460 65AZ,Baclofen Intrathecal Sintetica 0.5mg/ml Solution Injectable,IMEKS PHARMA SDN. BHD.,Sintetica S.A.(SWITZER LAND),30/4/2020,30/4/2025,New Registration Approval
989,201811301481A,MAL200460 67AZ,INVEGA TRINZA 175mg/0.875m L Prolonged- Release Suspension for Intramuscular Injection,JOHNSON & JOHNSON SDN BHD,JANSSEN PHARMACEUTI CA N.V.(BELGIUM ),30/4/2020,30/4/2025,New Registration Approval
990,201810081144A,MAL200461 12ARZ,RABEPRAZOLE SANDOZ®GAST RO-RESISTANT TABLETS 20MG,NOVARTIS CORPORATION (MALAYSIA) SDN. BHD.,LEK PHARMACEUTI CALS D.D.(SLOVENI A),30/4/2020,30/4/2025,New Registration Approval
991,201811131388A,MAL200460 92AZ,Neuronox ® Powder for Solution for Injection 50 units,SUNWARD PHARMACEUTICA L SDN. BHD.,"MEDYTOX INC.(KOREA,S OUTH)",30/4/2020,30/4/2025,New Registration Approval
992,201810161186A,MAL200460 75ARZ,Gilenya 0.25mg Hard Capsules,NOVARTIS CORPORATION (MALAYSIA) SDN. BHD.,NOVARTIS PHARMA STEIN AG(SWITZERL AND),30/4/2020,30/4/2025,New Registration Approval
993,201811211430A,MAL200461 16AZ,ACCOCEPT 180 (Mycophenolic Acid Gastro Resistant Tablets 180 mg),ACCORD HEALTHCARE SDN.BHD.,INTAS PHARMACEUTI CALS LIMITED(INDI A),30/4/2020,30/4/2025,New Registration Approval
994,201811131390A,MAL200460 93AZ,Neuronox ® Powder for Solution for Injection 100 units,SUNWARD PHARMACEUTICA L SDN. BHD.,"MEDYTOX INC.(KOREA,S OUTH)",30/4/2020,30/4/2025,New Registration Approval
995,201811211431A,MAL200461 17AZ,ACCOCEPT 360 (Mycophenolic Acid Gastro Resistant Tablets 360 mg),ACCORD HEALTHCARE SDN.BHD.,INTAS PHARMACEUTI CALS LIMITED(INDI A),30/4/2020,30/4/2025,New Registration Approval
996,201811131391A,MAL200460 94AZ,Neuronox ® Powder for Solution for Injection 200 units,SUNWARD PHARMACEUTICA L SDN. BHD.,"MEDYTOX INC.(KOREA,S OUTH)",30/4/2020,30/4/2025,New Registration Approval
997,201812191611A,MAL200460 86ACRZ,Fasenra 30 mg solution for injection in pre- filled syringe,ASTRAZENECA SDN. BHD.,Amylin Ohio LLC(UNITED STATES),30/4/2020,30/4/2025,New Registration Approval
998,201810261273A,MAL200461 11AZ,Axcel Azithromycin- 250mg Tablet,KOTRA PHARMA (M) SDN. BHD.,KOTRA PHARMA (M) SDN. BHD.(MALAYS IA),30/4/2020,30/4/2025,New Registration Approval
999,201901071656A,MAL200460 76AZ,Xarelto 2.5mg Film-Coated Tablets,BAYER CO. (MALAYSIA) SDN. BHD.,BAYER AG(GERMANY),30/4/2020,30/4/2025,New Registration Approval
1000,201811211432A,MAL200461 18AZ,"PALSET (Palonosetron Hydrochloride Solution for Injection 0.05 mg/ml, 5 ml vial)",ACCORD HEALTHCARE SDN.BHD.,INTAS PHARMACEUTI CALS LIMITED(INDI A),30/4/2020,30/4/2025,New Registration Approval
1001,201810291279A,MAL200461 14AZ,IVASWIFT 5 (IVABRADINE TABLETS 5MG),SYNERRV SDN BHD,IND-SWIFT LIMITED(INDI A),30/4/2020,30/4/2025,New Registration Approval
1002,201810291280A,MAL200461 15AZ,IVASWIFT 7.5 (IVABRADINE TABLETS 7.5MG),SYNERRV SDN BHD,IND-SWIFT LIMITED(INDI A),30/4/2020,30/4/2025,New Registration Approval
1003,201812051521A,MAL200461 20AZ,Crystorvas Tablet 40mg,Duopharma Marketing Sdn. Bhd.,DUOPHARMA MANUFACTUR ING (BANGI) SDN BHD(MALAYSI A),30/4/2020,30/4/2025,New Registration Approval
1004,201812031489A,MAL200461 19AZ,Entecavir STELLA 0.5 mg film-coated tablet,STADPHARM SDN. BHD.,"STADA - VIETNAM JOINT VENTURE CO., LTD.(VIETNA M)",30/4/2020,30/4/2025,New Registration Approval
1005,201812051522A,MAL200461 21AZ,Crystorvas Tablet 20mg,Duopharma Marketing Sdn. Bhd.,DUOPHARMA MANUFACTUR ING (BANGI) SDN BHD(MALAYSI A),30/4/2020,30/4/2025,New Registration Approval
1006,201902011785A,MAL200460 87AZ,AFSTYLA 250IU powder and solvent for solution for injection,DKSH MALAYSIA SDN BHD,CSL Behring GmbH(GERMA NY),30/4/2020,30/4/2025,New Registration Approval
1007,201902271851A,MAL200460 79ARZ,Verzenio 50mg film-coated tablets,ELI LILLY (MALAYSIA) SDN. BHD.,"LILLY DEL CARIBE, INC(UNITED STATES)",30/4/2020,30/4/2025,New Registration Approval
1008,201902271852A,MAL200460 80ARZ,Verzenio 100mg film-coated tablets,ELI LILLY (MALAYSIA) SDN. BHD.,"LILLY DEL CARIBE, INC(UNITED STATES)",30/4/2020,30/4/2025,New Registration Approval
1009,201902271854A,MAL200460 81ARZ,Verzenio 150mg film-coated tablets,ELI LILLY (MALAYSIA) SDN. BHD.,"LILLY DEL CARIBE, INC(UNITED STATES)",30/4/2020,30/4/2025,New Registration Approval
1010,201902011786A,MAL200460 88AZ,AFSTYLA 500IU powder and solvent for solution for injection,DKSH MALAYSIA SDN BHD,CSL Behring GmbH(GERMA NY),30/4/2020,30/4/2025,New Registration Approval
1011,201902011787A,MAL200460 89AZ,AFSTYLA 1000IU powder and solvent for solution for injection,DKSH MALAYSIA SDN BHD,CSL Behring GmbH(GERMA NY),30/4/2020,30/4/2025,New Registration Approval
1012,201902011788A,MAL200460 90AZ,AFSTYLA 2000IU powder and solvent for solution for injection,DKSH MALAYSIA SDN BHD,CSL Behring GmbH(GERMA NY),30/4/2020,30/4/2025,New Registration Approval
1013,201902011789A,MAL200460 91AZ,AFSTYLA 3000IU powder and solvent for solution for injection.,DKSH MALAYSIA SDN BHD,CSL Behring GmbH(GERMA NY),30/4/2020,30/4/2025,New Registration Approval
1014,201902221838A,MAL200460 95ACZ,REKOVELLE 12mcg/0.36mL solution for Injection in pre- filled pen,Ferring Sdn. Bhd.,FERRING GMBH(GERMA NY),30/4/2020,30/4/2025,New Registration Approval
1015,201902221839A,MAL200460 96ACZ,REKOVELLE 36 mcg/1.08 mL solution for injection in pre- filled pen,Ferring Sdn. Bhd.,FERRING GMBH(GERMA NY),30/4/2020,30/4/2025,New Registration Approval
1016,201902221840A,MAL200460 97ACZ,REKOVELLE 72 mcg/2.16 mL solution for injection in pre- filled pen,Ferring Sdn. Bhd.,FERRING GMBH(GERMA NY),30/4/2020,30/4/2025,New Registration Approval
1017,201903221946A,MAL200461 22AZ,Cardiolek -320 Iodixanol Injection USP 320mg I/ml.,UNIMED SDN BHD,UNIQUE PHARMACEUTI CAL LABORATORIE S(INDIA),30/4/2020,30/4/2025,New Registration Approval
1018,201904011984A,MAL200461 24ACZ,Vignocaine 2% w/v Viscous Solution,PHARM-D SDN. BHD.,WINWA MEDICAL SDN. BHD.(MALAYS IA),30/4/2020,30/4/2025,New Registration Approval
